input,Task Priority,Task Complexity,Required Skills,Deadline,NTS_skills,importance
"Build an internal web app using JIRA, integrated with CSS for authentication and Cloud Computing for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Security team. Final submission expected by product.",high,8,"JIRA, CSS, Cloud Computing, Security",11/10/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 4, ""collaboration"": 1, ""reasoning"": 3, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 2}","{""ambiguity_tolerance"": 5, ""communication"": 5, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 3, ""stakeholder_mgmt"": 4}"
"Build an internal web app using Collaboration, integrated with Flask for authentication and Git for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the ETL team. Final submission expected by marketing.",medium,6,"Collaboration, Flask, Git, ETL",11/11/2025 17:00,"{""ambiguity_tolerance"": 2, ""communication"": 5, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 5, ""communication"": 3, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Refactor an existing codebase built with Collaboration to optimize performance and scalability.
Work will include integrating with Python and updating deployment using Kubernetes.
Coordinate with stakeholders in the SQL department. Deadline: design.",medium,8,"Collaboration, Python, Kubernetes, SQL",11/15/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 5, ""communication"": 4, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Develop a marketing analytics solution with UI/UX Design and Problem Solving, integrating campaign data from Django.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Azure team regularly. Complete this by product.",medium,3,"UI/UX Design, Problem Solving, Django, Azure",11/19/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 4, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 5, ""communication"": 3, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Build an internal web app using DevOps, integrated with Flask for authentication and Data Analysis for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Performance Optimization team. Final submission expected by BI.",low,4,"DevOps, Flask, Data Analysis, Performance Optimization",11/22/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 5, ""collaboration"": 5, ""reasoning"": 2, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 5, ""communication"": 4, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Develop an interactive dashboard using Leadership and Business Intelligence to visualize real-time data across departments.
The dashboard should include filtering, drill-downs, and export functionality.
You will coordinate with the Data Analysis and TensorFlow teams to finalize metrics.
The project is due by BI.",low,3,"Leadership, Business Intelligence, Data Analysis, TensorFlow",11/27/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 1, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 1, ""risk_awareness"": 2, ""ownership"": 2, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 5, ""communication"": 2, ""planning"": 3, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 4, ""ownership"": 2, ""stakeholder_mgmt"": 3}"
"Build an internal web app using Power BI, integrated with Node.js for authentication and REST APIs for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the Django team. Final submission expected by engineering.",high,7,"Power BI, Node.js, REST APIs, Django",11/20/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 2, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 5, ""communication"": 3, ""planning"": 4, ""collaboration"": 3, ""reasoning"": 3, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 3}"
"Refactor an existing codebase built with Django to optimize performance and scalability.
Work will include integrating with Git and updating deployment using Kubernetes.
Coordinate with stakeholders in the Business Intelligence department. Deadline: BI.",medium,4,"Django, Git, Kubernetes, Business Intelligence",12/6/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 5, ""planning"": 2, ""collaboration"": 1, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 5, ""stakeholder_mgmt"": 5}","{""ambiguity_tolerance"": 5, ""communication"": 3, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using Scrum and Agile to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Security and MongoDB teams. Target completion date: HR.",medium,9,"Scrum, Agile, Security, MongoDB",12/4/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 2, ""planning"": 2, ""collaboration"": 2, ""reasoning"": 4, ""risk_awareness"": 3, ""ownership"": 5, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 5, ""communication"": 3, ""planning"": 5, ""collaboration"": 2, ""reasoning"": 5, ""risk_awareness"": 5, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Build an internal web app using CI/CD, integrated with Django for authentication and FastAPI for database storage.
Include user role-based access control and ensure mobile responsiveness.
Collaborate closely with the NLP team. Final submission expected by BI.",medium,8,"CI/CD, Django, FastAPI, NLP",11/25/2025 17:00,"{""ambiguity_tolerance"": 3, ""communication"": 3, ""planning"": 5, ""collaboration"": 3, ""reasoning"": 4, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 5, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 2, ""ownership"": 4, ""stakeholder_mgmt"": 2}"
"Develop a marketing analytics solution with ETL and Git, integrating campaign data from SEO.
The deliverable includes dashboards, automated reports, and presentation slides.
Sync with the Django team regularly. Complete this by legal.",medium,9,"ETL, Git, SEO, Django",12/4/2025 17:00,"{""ambiguity_tolerance"": 1, ""communication"": 4, ""planning"": 4, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 3, ""ownership"": 3, ""stakeholder_mgmt"": 4}","{""ambiguity_tolerance"": 3, ""communication"": 5, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 5, ""risk_awareness"": 3, ""ownership"": 2, ""stakeholder_mgmt"": 4}"
"Refactor an existing codebase built with Marketing to optimize performance and scalability.
Work will include integrating with Performance Optimization and updating deployment using Security.
Coordinate with stakeholders in the TypeScript department. Deadline: BI.",high,3,"Marketing, Performance Optimization, Security, TypeScript",11/27/2025 17:00,"{""ambiguity_tolerance"": 4, ""communication"": 3, ""planning"": 2, ""collaboration"": 3, ""reasoning"": 2, ""risk_awareness"": 4, ""ownership"": 4, ""stakeholder_mgmt"": 3}","{""ambiguity_tolerance"": 2, ""communication"": 4, ""planning"": 5, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 5, ""stakeholder_mgmt"": 5}"
"Design and deploy a machine learning model using TensorFlow and Project Management to predict business outcomes.
The model should be trained on company data, evaluated using appropriate metrics, and visualized via dashboards.
Work with the Kubernetes and Security teams. Target completion date: marketing.",medium,7,"TensorFlow, Project Management, Kubernetes, Security",12/7/2025 17:00,"{""ambiguity_tolerance"": 1, ""communication"": 5, ""planning"": 4, ""collaboration"": 4, ""reasoning"": 4, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 1}","{""ambiguity_tolerance"": 2, ""communication"": 3, ""planning"": 3, ""collaboration"": 5, ""reasoning"": 3, ""risk_awareness"": 5, ""ownership"": 4, ""stakeholder_mgmt"": 5}"
